Year,CPI.Average
1990,130.6583332999999
1991,136.19166669999984
1992,140.31666669999981
1993,144.45833330000002
1994,148.22500000000014
1995,152.38333330000017
1996,156.85000000000016
1997,160.5166667000001
1998,163.00833330000017
1999,166.57499999999996
2000,172.2
2001,177.0666666999999
2002,179.875
2003,183.95833329999988
2004,188.88333330000017
2005,195.2916667000002
2006,201.5916667000001
2007,207.34241669999992
2008,215.30249999999984
2009,214.53700000000012
2010,218.05550000000022
2011,224.9391667
2012,229.59391669999982
2013,232.95708329999982
2014,236.73616670000004
2015,237.01699999999985
2016,240.00716669999983
